t_index	term	df
1	a-ok	1
2	aan	1
3	aaron	2
4	ab	1
5	aback	1
6	abahd	1
7	abandon	37
8	abat	1
9	abc	49
10	abcnew	3
11	abdallah	2
12	abdel	3
13	abdomin	2
14	abduct	2
15	abdul	5
16	abdul-karim	11
17	abdullah	40
18	abdurahman	1
19	aberr	1
20	abhad	1
21	abhiyan	1
22	abhorr	2
23	abid	7
24	abidjan	36
25	abijan	1
26	abil	32
27	abl	105
28	ablaz	3
29	abnorm	1
30	aboard	93
31	abobo	3
32	abolish	4
33	abomin	1
34	abort	7
35	abou	1
36	abound	4
37	abov	43
38	abovo	1
39	abraham	10
40	abreast	1
41	abrego	1
42	abroad	52
43	abrog	2
44	abrupt	1
45	abruptli	4
46	abscam	1
47	absenc	6
48	absent	4
49	absente	7
50	absentia	3
51	absolut	43
52	absorb	9
53	abstain	1
54	abstent	1
55	absurd	2
56	abu	7
57	abund	2
58	abus	28
59	abuse-of-pow	1
60	abuzaakouk	1
61	abyan	1
62	abyssinian	1
63	academ	6
64	academi	4
65	academia	1
66	acced	1
67	acceler	4
68	accent	2
69	accentu	2
70	accept	124
71	access	41
72	accid	32
73	accident	3
74	accommod	11
75	accompani	33
76	accomplic	5
77	accomplish	10
78	accord	145
79	accordingli	1
80	accordion	1
81	account	125
82	accredit	1
83	accumul	2
84	accur	14
85	accuraci	1
86	accus	131
87	accustom	2
88	ace	27
89	acerb	2
90	achiev	31
91	acid	2
92	acknowledg	55
93	acolyt	1
94	acosta	1
95	acquaint	1
96	acquiesc	1
97	acquir	5
98	acquisit	1
99	acquit	5
100	acquitt	3
101	acrimoni	2
102	acrobat	5
103	acronym	1
104	across	119
105	across-the-board	1
106	act	135
107	action	95
108	activ	89
109	activist	19
110	actor	4
111	actress	2
112	actual	66
113	ad	119
114	ad-dali	1
115	adam	8
116	adapt	5
117	add	18
118	adden	1
119	addit	74
120	address	64
121	adem	1
122	aden	169
123	aden-abyan	5
124	aden-bas	1
125	adequ	7
126	adher	4
127	adiksa	1
128	adjac	4
129	adjam	2
130	adjoin	3
131	adjourn	3
132	adjust	7
133	adlai	1
134	adm	44
135	admen	1
136	administ	9
137	administr	115
138	administration-medi	1
139	admir	38
140	admiralti	1
141	admiringli	1
142	admiss	2
143	admit	40
144	ado	2
145	adob	1
146	adolesc	2
147	adopt	17
148	adorn	1
149	adoubi	1
150	adra	1
151	adrain	1
152	adrenalin	1
153	adriat	1
154	adrift	4
155	adult	10
156	advanc	66
157	advani	1
158	advantag	21
159	adventist	1
160	adventur	2
161	advers	2
162	adversari	2
163	advertis	12
164	advic	6
165	advis	83
166	advisor	10
167	advisori	2
168	advoc	13
169	advocaci	2
170	aegi	5
171	aerial	3
172	aeroflot	1
173	af	1
174	affabl	1
175	affair	48
176	affect	29
177	affection	1
178	affili	6
179	affirm	6
180	afflict	1
181	afford	7
182	affront	2
183	afghan	15
184	afghan-arab	1
185	afghan-bas	3
186	afghanistan	46
187	afi	2
188	afibia	1
189	afield	1
190	afir	2
191	afl-cio	2
192	afloat	13
193	afoul	1
194	afraid	28
195	afredo	1
196	africa	65
197	african	48
198	african-american	1
199	aft	3
200	aftehock	1
201	aftermath	14
202	afternoon	59
203	aftershock	43
204	afterward	13
205	afundament	1
206	agarw	1
207	agassi	47
208	agbayani	1
209	age	35
210	agenc	117
211	agenda	14
212	agent	83
213	agglomer	1
214	aggrav	12
215	aggress	24
216	agil	1
217	agit	1
218	ago	207
219	agon	6
220	agoni	3
221	agonizingli	1
222	agre	77
223	agreement	49
224	agricultur	15
225	agustin	1
226	ah	1
227	aha	1
228	ahead	53
229	ahemdabad	1
230	ahm	15
231	ahmad	1
232	ahmadabad	2
233	ahmar	1
234	ahmedabad	20
235	ahold	1
236	ahren	1
237	ai	1
238	aid	158
239	aida	2
240	ail	5
241	ailment	1
242	aim	35
243	ainst	1
244	air	170
245	air-condition	1
246	air-qual	1
247	air-strik	1
248	air-to-air	1
249	air-traff	1
250	aircraft	27
251	airdrop	2
252	airfield	1
253	airforc	1
254	airlift	4
255	airlin	6
256	airlock	1
257	airman	1
258	airmen	11
259	airplan	7
260	airport	49
261	airstrik	3
262	airtim	2
263	airwav	1
264	airway	3
265	aisl	3
266	aj	1
267	ajax	1
268	ajnar	3
269	ajw	1
270	akaka	2
271	akan	2
272	akin	3
273	akishio	1
274	akouedo	1
275	al	74
276	al-	1
277	al-abidin	4
278	al-ahmar	1
279	al-ayyam	1
280	al-badawi	1
281	al-fadhli	1
282	al-gama	1
283	al-gamaa	2
284	al-gerin	1
285	al-ghashmi	1
286	al-hadith	1
287	al-hamdi	1
288	al-harazi	2
289	al-hassan	1
290	al-iryani	11
291	al-islamiya	2
292	al-islaymiyya	1
293	al-jazeera	3
294	al-jefri	1
295	al-jihad	1
296	al-khamri	1
297	al-masri	2
298	al-megrahi	1
299	al-midhar	2
300	al-mihdar	3
301	al-muhajiroun	3
302	al-musawah	3
303	al-naderi	2
304	al-nahdi	1
305	al-nizali	1
306	al-omeri	1
307	al-owhali	1
308	al-qadhi	2
309	al-qaeda	1
310	al-qaida	3
311	al-ribat	1
312	al-shahrani	3
313	al-sharia	1
314	al-sharjani	1
315	al-sharq	1
316	al-shueib	1
317	al-wadi	1
318	al-zawahri	2
319	al-zindani	1
320	ala	4
321	alabama	5
322	alain	1
323	alami	1
324	alamoudi	1
325	alan	5
326	alarm	19
327	alasan	1
328	alaska	3
329	alaskan	1
330	alassan	27
331	albani	1
332	albania	1
333	albanian	18
334	albanian-american	1
335	albeit	4
336	albert	1
337	alberto	66
338	albright	47
339	album	1
340	alce	3
341	alcohol	5
342	alehandr	1
343	alejandro	14
344	aleksa	1
345	aleksandar	6
346	aler	1
347	alert	62
348	alessio	4
349	alex	10
350	alexa	2
351	alexand	9
352	alexandria	1
353	alexei	1
354	alexeyev	1
355	alexsand	1
356	alfonso	1
357	alfr	2
358	alfredo	1
359	algeria	3
360	algerian	5
361	ali	44
362	alia	2
363	alibi	1
364	alien	3
365	alight	1
366	align	5
367	alija	1
368	alik	9
369	alisan	2
370	alisha	1
371	aliv	84
372	all-franc	1
373	all-french	2
374	all-import	1
375	all-night	2
376	all-parti	1
377	all-star	1
378	all-tim	1
379	all-william	1
380	allafrica	1
381	allah	1
382	allahabad	2
383	allahbad	1
384	allan	1
385	alleg	72
386	allegedli	23
387	allegi	1
388	allen	22
389	allentown	1
390	alley	2
391	alleyway	3
392	alli	86
393	allianc	10
394	alliz	1
395	allot	1
396	allow	133
397	allud	2
398	allus	5
399	alma	1
400	almagor	1
401	almost	118
402	alon	39
403	along	118
404	alongsid	39
405	alou	1
406	alpha	2
407	alphabet	3
408	alpin	1
409	alreadi	164
410	also	477
411	alter	8
412	altern	20
413	although	83
414	altitud	1
415	altogeth	4
416	aluminum	2
417	alun	6
418	alway	93
419	amad	3
420	amanda	17
421	amarillo	2
422	amartej	3
423	amaru	4
424	amass	4
425	amateur	2
426	amaz	10
427	amazingli	1
428	ambassador	47
429	ambersag	1
430	ambigu	1
431	ambit	8
432	ambiti	2
433	ambival	2
434	ambul	11
435	ambush	1
436	ameli	6
437	amend	2
438	amerasian	1
439	america	128
440	american	341
441	american-islam	1
442	american-l	1
443	american-statesman	1
444	american-yemeni	1
445	americorp	1
446	amh	1
447	ami	2
448	amiabl	2
449	amic	1
450	amid	51
451	amidship	2
452	amin	1
453	amit	1
454	amman	2
455	ammo	1
456	ammonium	1
457	ammunit	22
458	amnesia	2
459	amnesti	2
460	among	182
461	amongst	2
462	amount	30
463	amp	5
464	amphibi	3
465	ampl	2
466	ampli	1
467	amplifi	1
468	amput	12
469	ana	7
470	anacostia	1
471	analges	1
472	analog	1
473	analysi	9
474	analyst	38
475	analyz	5
476	anarch	2
477	anathema	1
478	anatoli	8
479	anca	4
480	ancestor	3
481	ancestr	25
482	ancestri	1
483	anchor	8
484	anchorag	2
485	anchorman	3
486	ancient	4
487	andean	6
488	anderson	4
489	andi	5
490	andjelkov	1
491	andoslavia	1
492	andr	48
493	andrea	14
494	andrei	2
495	andrew	15
496	andrik	1
497	anew	7
498	angel	13
499	anger	46
500	angl	12
501	anglican	1
502	angri	27
503	angrili	4
504	anguish	8
505	ani	312
506	anim	2
507	animist	2
508	animos	11
509	anjana	1
510	anjar	6
511	anjay	1
512	ank	2
513	ankl	8
514	ankle-deep	1
515	ann	11
516	anna	21
517	annabel	1
518	annacon	1
519	annan	13
520	anniversari	15
521	announc	164
522	annoy	2
523	annual	18
524	annul	11
525	anomali	1
526	anonym	63
